True phone,Predicted phone
m,"[('m', 14), ('r', 12), ('ax', 8), ('axr', 8), ('ah', 7)]"
er,"[('axr', 33), ('r', 30), ('er', 22), ('eh', 4), ('dx', 4)]"
hh,"[('k', 59), ('hh', 17), ('g', 5), ('sh', 5), ('d', 4)]"
kcl,"[('m', 23), ('dcl', 12), ('n', 9), ('gcl', 8), ('kcl', 7)]"
ih,"[('iy', 61), ('y', 17), ('ix', 6), ('ih', 4), ('ux', 3)]"
r,"[('iy', 38), ('ey', 25), ('ih', 16), ('ix', 10), ('r', 3)]"
tcl,"[('v', 22), ('b', 13), ('n', 9), ('tcl', 7), ('dcl', 7)]"
ix,"[('ey', 20), ('ih', 19), ('eh', 18), ('iy', 15), ('ix', 9)]"
s,"[('s', 52), ('sh', 19), ('z', 12), ('tcl', 5), ('ch', 5)]"
hh,"[('p', 37), ('f', 15), ('b', 8), ('dh', 6), ('kcl', 6)]"
f,"[('f', 72), ('p', 9), ('th', 4), ('kcl', 4), ('t', 3)]"
aa,"[('ao', 36), ('aa', 35), ('l', 7), ('ah', 6), ('aw', 4)]"
p,"[('dx', 29), ('r', 16), ('axr', 10), ('ix', 8), ('eh', 8)]"
s,"[('s', 50), ('z', 18), ('tcl', 11), ('f', 5), ('th', 5)]"
th,"[('f', 45), ('pcl', 16), ('tcl', 15), ('th', 6), ('dh', 5)]"
m,"[('n', 22), ('m', 13), ('v', 8), ('dcl', 8), ('hv', 7)]"
f,"[('f', 90), ('th', 6), ('v', 2), ('tcl', 1), ('s', 1)]"
tcl,"[('dcl', 39), ('tcl', 32), ('pcl', 11), ('dh', 3), ('v', 3)]"
em,"[('ax', 16), ('ix', 10), ('n', 10), ('v', 9), ('b', 8)]"
ao,"[('w', 37), ('ao', 22), ('l', 12), ('el', 5), ('ng', 4)]"
r,"[('r', 43), ('axr', 16), ('dx', 9), ('aa', 6), ('ax', 4)]"
w,"[('w', 83), ('l', 4), ('ax', 4), ('bcl', 2), ('uw', 1)]"
ay,"[('ay', 44), ('ah', 12), ('l', 8), ('eh', 6), ('ae', 5)]"
l,"[('l', 45), ('aa', 11), ('ow', 10), ('ah', 9), ('ax', 7)]"
jh,"[('jh', 57), ('t', 11), ('d', 10), ('sh', 6), ('ch', 6)]"
dx,"[('ix', 18), ('dx', 17), ('n', 10), ('v', 7), ('dcl', 7)]"
w,"[('w', 49), ('l', 17), ('el', 8), ('ng', 5), ('ax', 4)]"
tcl,"[('f', 24), ('sh', 22), ('tcl', 15), ('v', 9), ('th', 5)]"
r,"[('r', 44), ('axr', 14), ('ao', 10), ('w', 6), ('ax', 5)]"
d,"[('f', 30), ('dh', 16), ('t', 11), ('d', 8), ('v', 7)]"
l,"[('l', 18), ('m', 16), ('b', 13), ('bcl', 8), ('n', 8)]"
kcl,"[('kcl', 26), ('pcl', 26), ('tcl', 20), ('th', 9), ('f', 7)]"
ax,"[('ix', 23), ('ax', 13), ('m', 6), ('dx', 6), ('ux', 5)]"
d,"[('d', 24), ('t', 23), ('dh', 12), ('g', 7), ('z', 7)]"
tcl,"[('kcl', 49), ('tcl', 22), ('pcl', 9), ('dcl', 6), ('gcl', 5)]"
n,"[('n', 22), ('dx', 18), ('ix', 13), ('m', 6), ('ih', 6)]"
v,"[('f', 58), ('th', 16), ('pcl', 10), ('tcl', 5), ('kcl', 4)]"
aa,"[('aa', 37), ('ao', 22), ('ay', 13), ('l', 6), ('aw', 6)]"
q,"[('ix', 25), ('r', 18), ('ih', 15), ('dx', 11), ('ey', 10)]"
q,"[('ay', 36), ('ah', 15), ('oy', 11), ('ae', 11), ('eh', 6)]"
dx,"[('dx', 29), ('r', 24), ('axr', 23), ('er', 20), ('v', 1)]"
ix,"[('ix', 23), ('eh', 17), ('ey', 15), ('ih', 10), ('iy', 6)]"
axr,"[('ix', 19), ('r', 16), ('axr', 15), ('ih', 12), ('iy', 12)]"
tcl,"[('tcl', 28), ('pcl', 26), ('dcl', 18), ('kcl', 9), ('v', 6)]"
d,"[('dx', 27), ('dh', 10), ('ix', 10), ('r', 8), ('d', 7)]"
iy,"[('iy', 46), ('y', 13), ('ix', 8), ('dcl', 7), ('ux', 6)]"
n,"[('dcl', 28), ('bcl', 23), ('n', 15), ('tcl', 7), ('m', 5)]"
er,"[('ae', 28), ('ix', 13), ('eh', 9), ('axr', 7), ('ay', 6)]"
q,"[('ix', 13), ('ae', 10), ('dh', 9), ('hv', 8), ('q', 8)]"
v,"[('f', 78), ('th', 7), ('tcl', 3), ('kcl', 2), ('z', 2)]"
gcl,"[('dcl', 72), ('gcl', 8), ('tcl', 6), ('dx', 4), ('kcl', 2)]"
ih,"[('ax', 27), ('l', 20), ('ih', 6), ('ow', 6), ('ix', 6)]"
w,"[('w', 30), ('l', 20), ('m', 12), ('ax', 9), ('n', 7)]"
eh,"[('ix', 31), ('eh', 18), ('ae', 16), ('ey', 11), ('ih', 11)]"
n,"[('dx', 17), ('v', 11), ('nx', 10), ('dh', 10), ('ix', 7)]"
ax,"[('r', 21), ('dx', 10), ('ax', 10), ('axr', 8), ('aa', 7)]"
l,"[('v', 33), ('dh', 16), ('b', 9), ('l', 6), ('d', 5)]"
q,"[('ae', 41), ('aa', 15), ('eh', 8), ('ah', 5), ('dx', 5)]"
tcl,"[('kcl', 30), ('tcl', 26), ('v', 13), ('gcl', 8), ('dcl', 5)]"
n,"[('n', 49), ('dcl', 15), ('m', 11), ('en', 6), ('gcl', 5)]"
ey,"[('ey', 39), ('ih', 20), ('ix', 15), ('iy', 13), ('eh', 5)]"
el,"[('ao', 23), ('ow', 19), ('l', 17), ('el', 8), ('aa', 7)]"
w,"[('w', 77), ('b', 7), ('l', 5), ('m', 4), ('v', 3)]"
uw,"[('l', 40), ('el', 18), ('w', 16), ('ao', 15), ('ow', 6)]"
tcl,"[('n', 51), ('m', 17), ('dcl', 10), ('dx', 7), ('tcl', 4)]"
aa,"[('ao', 29), ('l', 26), ('aa', 20), ('ah', 7), ('ow', 5)]"
m,"[('m', 40), ('n', 27), ('v', 6), ('r', 3), ('pcl', 2)]"
q,"[('ao', 26), ('l', 24), ('w', 19), ('el', 12), ('ow', 12)]"
s,"[('s', 72), ('z', 22), ('tcl', 2), ('t', 1), ('dcl', 1)]"
tcl,"[('kcl', 46), ('tcl', 25), ('dcl', 7), ('pcl', 7), ('th', 5)]"
t,"[('t', 64), ('d', 20), ('jh', 6), ('k', 4), ('z', 1)]"
ix,"[('ix', 25), ('n', 13), ('b', 8), ('ih', 8), ('m', 6)]"
w,"[('w', 89), ('b', 2), ('bcl', 2), ('l', 2), ('m', 2)]"
q,"[('eh', 12), ('ah', 12), ('axr', 10), ('ae', 10), ('ax', 7)]"
k,"[('k', 58), ('g', 15), ('p', 8), ('b', 6), ('kcl', 4)]"
p,"[('b', 13), ('d', 11), ('t', 10), ('dh', 8), ('tcl', 7)]"
d,"[('f', 80), ('d', 5), ('k', 4), ('t', 3), ('dh', 2)]"
eh,"[('ae', 46), ('eh', 18), ('ax', 5), ('ah', 5), ('q', 4)]"
